,or2898,or3181,or3464,or4432,or2054,or3747,or1200,or634,or4318,or1483
f458,-0.081681509,-0.042803792,-0.057742028,-0.046011682,-0.997844619,-0.13147563,-0.965637848,-0.966751814,-0.241597242,-0.962370012
f459,-0.043241908,0.060044477,0.166296022,-0.502347418,-0.22673031,0.238448233,0.708830549,0.479713604,-0.681986657,0.861575179
f460,-0.662160109,-0.584991645,-0.381740848,-0.575383564,-0.166666667,-0.660033419,0.233333333,0.233333333,-0.639184262,-0.6
f461,-0.069406269,0.074422866,0.384310368,0.280824284,-0.19504644,0.529971913,-0.157894737,-0.442724458,-0.828632151,0.715170279
f462,-0.737728034,-0.758878999,-0.746012162,-0.729796422,-0.924324324,-0.74530713,1,0.978378378,-0.800652155,0.091891892
f463,0.405944566,0.45944566,0.52567469,0.161579139,-0.447761194,0.595514223,1,0.567164179,-0.466037564,0.865671642
f464,-0.656034795,-0.588256615,-0.396158028,-0.594961943,-0.743186124,-0.652229069,0.207112666,0.067191372,-0.669490758,0.384637808
f465,-0.0823572,0.036588835,0.280841931,0.19479999,-0.752882057,0.401598014,0.219923145,0.037245049,-0.750924418,0.399940881
f466,-0.860635303,-0.853531275,-0.095884518,-0.924774524,-1,-0.89428567,-1,-0.067567568,-0.941933399,-1
f467,-0.85210805,-0.8586999,-0.033798107,-0.919951605,-1,-0.886895519,-1,-1,-0.92983588,-1
f468,-0.582729817,-0.591196954,-0.400942735,-0.702255882,-0.296875,-0.777069139,-1,-1,-0.602465281,-1
f469,-0.59113385,-0.643195785,-0.479352267,-0.725062023,-1,-0.780722382,1,1,-0.550313025,1
f470,-0.672842719,-0.709252167,-0.682927423,-0.698606569,-0.094669965,-0.671847818,0.11581551,-0.030651341,-0.689255222,-0.15442068
f471,-0.78742743,-0.817165047,-0.852736318,-0.813746906,-0.09070096,-0.698259584,0.120707292,-0.121389254,-0.749450064,-0.150713625
f472,0.403128142,0.073082064,-0.537411355,-0.444198281,-1,-0.060399881,-1,-0.721488253,-0.239378344,-1
f473,0.194624323,0.237781734,-0.354672666,-0.294621896,-1,0.188959724,-1,-1,0.030401184,-1
f474,0.237727983,-0.091796797,-0.68101122,0.061911643,-1,-0.081495117,-1,-1,-0.148106238,-1
f475,0.18787522,0.266974772,-0.274935594,-0.209036493,-1,0.257587547,-1,-1,0.095046985,-1
f476,0.003034245,-0.27290327,-0.75735519,0.035461253,-0.986920981,-0.35156536,-1,-0.993242507,-0.145488688,-1
f477,-0.448870651,-0.607087739,-0.694036631,-0.470008911,0.018139039,-0.63267046,0.008946404,-0.140324478,-0.569057789,-0.159804109
f478,-0.990112118,-0.988319745,0.168627499,-0.987159176,-1,-0.991187271,-0.98623267,-0.987206148,-0.99110999,-0.993731163
