,or4246,or2615,or351
f200,-0.652115454,-0.804710009,0.168711656
f201,-0.801204925,-0.968036132,-0.786076663
f202,-0.797035077,-0.997286127,-0.237288136
f203,-1,-0.716056679,0.143323261
f204,-0.98164944,-0.969596107,-0.130329209
f205,-1,-1,-0.227004822
f206,-1,-0.978112015,-0.187078736
f207,-0.985792612,-1,-0.124416953
f208,-0.720783645,-0.939865311,-0.381835225
f209,-0.923375147,-0.994185872,-0.245238095
f210,-0.573068747,-0.986107012,-0.48304882
f211,-0.80671289,-0.953517566,-0.629600472
f212,-0.86902006,-0.98386782,0.005769683
f213,-0.821518779,-0.960729617,-0.672379009
f214,-0.847122331,-0.878990441,-0.687925342
f215,-0.977049157,-0.982522626,-1
f216,-0.939077776,-0.965749773,-0.147058824
f217,-0.492296879,-0.942413062,0.834051178
f218,0.927596133,-0.8279195,0.078741838
f219,-0.730785197,-1,-1
f220,-0.978817249,-0.975652429,-0.587811271
f221,-0.590677534,-1,0.27462939
f222,-0.290037723,-0.911045374,-0.201008888
f223,-0.653675771,-0.899143369,-0.999603105
f224,-0.672094847,-0.889539506,-0.433987717
f225,-0.817868285,-1,-0.974036579
f226,-0.958943036,-0.939069274,-0.953591581
f227,-0.76219436,-0.875664773,-0.518105184
f228,-0.452817286,-0.874313324,-0.957792516
f229,-0.974672791,-0.915642465,-0.953108108
f230,-0.965204287,-0.959907129,-0.841902696
f231,-0.644700044,-0.437706954,0.153396811
f232,-0.741500746,0.033979382,-0.281629567
f233,-0.918005892,-0.877326231,-0.408052231
f234,-0.727538261,-0.555584104,-0.924961883
f235,-0.676077337,-0.124274378,-0.301934293
f236,-0.588138031,-0.599595786,0.857529036
f237,-0.726294977,-0.751950782,0.57048577
f238,-0.505838348,0.186367451,-0.802473908
f239,-0.412005045,0.130117137,-0.806808511
f240,-0.437434021,-0.628930208,-0.410015406
f241,-0.123083999,-0.654382033,-1
f242,-0.640676134,-0.765452183,-1
f243,-0.629217143,-0.758409745,-0.973997894
f244,-0.166179225,-0.506345076,-0.9996
f245,-0.398348486,-0.653392594,-0.999586723
f246,-0.399829896,-0.718593637,-0.999626809
f247,-0.466743433,-0.571323791,0.626254607
f248,-0.19870653,-0.367861751,-0.172961527
f249,-1,-0.999939437,-0.033442647
f250,-0.999954496,-0.999932932,0.187574594
f251,-0.999928837,-0.999935087,0.220446752
f252,-0.999595736,-0.992129888,0.161390735
f253,-0.992928882,-1,0.063784069
f254,-0.998103329,-1,-0.187531764
f255,-0.999329447,-0.900632622,-0.493988708
f256,-0.994507932,-0.968648275,-0.288163871
f257,-0.729922033,-0.805664225,0.319000198
f258,-0.448482557,-0.573976745,0.415127715
f259,-0.54396853,-0.445837711,-0.045412663
f260,-0.713268912,-0.781198733,-0.863159647
f261,-0.503415705,-0.937997636,-0.13085622
f262,-0.560513288,-0.755577964,0.429368335
f263,-0.605662052,-0.649924197,0.429368335
f264,-1,-0.854130353,-0.810792805
f265,-0.988905455,-0.978877599,0.184316147
f266,-0.991446969,-0.99491261,0.065806045
f267,-0.412290923,-0.969079915,0.8116
f268,-0.71510239,-0.788850789,0.8116
f269,-1,-0.994576171,-0.883953116
f270,-0.953721296,-0.996531188,0.882057276
f271,-0.652714995,-0.786973026,-1
f272,-0.363503008,-0.999872342,-0.227239488
f273,0.912001712,-0.25892502,0.989300452
f274,0.319548872,0.210549832,-1
f275,-0.906497671,-0.923408827,0.284458534
f276,-1,-1,1
f277,-0.973097438,-0.970133934,0.987499413
f278,-0.418440197,-0.420479259,0.299401438
f279,-0.687676616,-0.859960455,1
f280,-1,-1,0.989983713
f281,-0.491396695,-0.473504921,-0.21602053
f282,-0.366720168,-0.451551966,-0.324963739
f283,0.184327585,-0.325868565,0.052852756
f284,-0.657876713,-0.730868773,0.578570537
f285,-0.846563323,-0.879927581,-0.849166401
f286,-0.47300564,-0.40427598,-0.679432408
f287,-0.999995333,-0.99999669,-0.570212367
f288,-0.007389171,-0.45315773,-0.648788844
f289,0.409307556,-0.423819239,-0.495827632
f290,-0.022175994,-0.428050639,-1
f291,0.202478538,-0.302137644,-0.611849012
f292,-0.49888163,-0.710969075,-0.807926941
f293,-0.061398508,-0.443336824,-0.89280525
f294,-0.010496083,-0.321792077,-1
f295,-0.311210086,-0.211059345,-0.916823188
f296,-0.929231731,-0.843040071,-1
f297,-0.176603587,-0.392242757,-0.815972092
f298,0.296618571,-0.021251864,-0.937862264
f299,0.249429023,-0.352041709,-0.922650002
f300,-1,-0.698464813,-0.869756774
f301,-1,-0.576671333,-0.314683416
f302,-0.484505824,-0.642169509,-0.610193584
f303,-0.97930308,-0.950889102,-0.839725396
f304,-1,-0.81846325,-0.648245223
f305,-0.602110663,-0.600924132,-0.9483299
f306,-0.844734518,-0.818191295,-0.987702323
f307,-0.831946291,-0.69271592,-0.896672414
f308,-0.705428828,-0.234359135,-1
f309,-0.885214417,-0.66506321,-0.932255761
f310,-0.885057519,-0.87582952,-1
f311,-0.810092169,-0.673121575,-0.591822693
f312,-0.881938059,-0.268770466,-0.26604385
f313,-0.980419597,-0.851823905,-0.99131038
f314,-0.79387565,-0.561916896,-0.805845411
f315,-0.862015859,-0.58041014,-0.297258433
f316,-0.245072031,-0.412386413,-0.998076454
f317,0.226480648,-0.514694811,0.86357443
f318,0.919872107,-0.410337472,0.869255512
f319,1,0.123775086,0.057448149
f320,1,-0.005811638,0.782155172
f321,-0.641697915,-0.740517467,0.824463186
f322,0.103069065,-0.298918709,0.735484099
f323,0.896407873,-0.458263391,0.463938119
f324,0.259492746,-0.302530055,-1
f325,0.152389621,-0.43366231,1
f326,0.889334528,-0.146276452,0.19474052
f327,-0.664727017,-0.769194383,0.180955418
f328,-0.341244202,-0.774154429,0.989300452
f329,1,0.116408496,0.7984
f330,0.063918787,0.171720714,-0.976440461
f331,-0.696331643,-0.757204171,0.440860215
f332,-0.582823821,-0.778033944,-1
f333,-0.889789991,-0.6537431,0.86357443
f334,-0.978573169,-0.999672739,0.991805721
f335,-0.998295245,-0.993817861,0.974938468
f336,-0.997928787,-0.994332583,0.565002814
f337,-0.399829896,-0.70447474,0.782155172
f338,-0.681011404,-0.730704547,0.824463186
f339,-0.19870653,-0.336145713,0.735484099
f340,-0.988072041,-1,0.463938119
f341,-1,-0.82667628,-1
f342,-0.609209003,-0.805859185,0.650558525
f343,-0.823642932,-0.748217268,0.19474052
f344,-0.990766248,-0.993002922,0.180955418
f345,-0.278021877,-0.479415941,-0.89877829
f346,-0.718261574,-0.751707824,-1
f347,-0.85293246,-0.891136782,-1
f348,-0.862331118,-0.866799777,-1
f349,-0.927445449,-0.847851471,-1
f350,-0.924118431,-0.929267834,-1
f351,-0.942850094,-0.945738551,-1
f352,-0.831353673,-0.933009824,-1
f353,-0.249427456,-0.197657564,-1
f354,-0.885480669,-0.701947009,-1
f355,-0.816958716,-0.742154081,-1
f356,-0.722297949,-0.506710027,-1
f357,-0.731542407,-0.246673115,-0.948328638
f358,-0.809327603,-0.79844093,-1
f359,-0.594318084,-0.56804324,-0.780137434
f360,-0.415132522,-0.3591036,-0.887430039
f361,-0.647359418,-0.7085311,-0.284178456
f362,0.176724803,-0.533352518,-0.200325349
f363,-0.260041068,-0.307313021,-1
f364,-0.91006187,-0.927921156,-1
f365,-1,-1,-1
f366,-0.577636493,-0.764396331,-1
f367,-0.973097438,-0.967318279,-1
f368,-0.450477076,-0.429227207,-0.864536407
f369,-0.285718031,-0.662742167,-0.891715487
f370,-0.790476422,-0.772223595,-0.887862069
f371,-0.941324888,-0.948578052,0.510633947
f372,-0.342297916,-0.591773431,0.442939487
f373,-0.790657895,-0.827058694,-0.28195419
f374,-0.949630533,-0.960187155,-0.296925344
f375,-0.422386445,-0.347590539,-0.920842181
f376,-0.419820962,-0.561632261,-1
f377,-0.007389171,-0.425721215,-0.914065099
f378,0.409307556,-0.394910735,-0.205200076
f379,-0.022175994,-0.399354436,0.510135315
f380,0.202478538,-0.286698686,0.517313573
f381,-0.49888163,-0.698401729,0.539045594
f382,-0.134027008,-0.47481401,-0.90430622
f383,-0.010496083,-0.294796281,-0.907715556
f384,-0.415796671,-0.297280055,-0.217797779
f385,-0.929231731,-0.835164978,-0.476047802
f386,-0.176603587,-0.366401193,-0.47599769
f387,0.296618571,0.026417793,-0.33015352
f388,0.249429023,-0.325902426,-0.848827688
f389,-1,-0.575036467,-0.998563711
f390,-1,-0.555431821,0.806478664
f391,-0.631149901,-0.731116482,0.970150117
f392,-0.918653174,-0.797398915,-0.831158476
f393,-1,-0.821421351,0.636363636
f394,-0.524501245,-0.505940468,-0.306384753
f395,-0.29044249,-0.188695367,-0.103626693
f396,-0.842651889,-0.719487997,-0.259993784
f397,-0.877212435,-0.698892671,0.153656126
f398,-0.705428828,-0.196336119,-0.994633274
f399,-0.885214417,-0.649773513,-0.782696177
f400,-0.912091637,-0.90267518,0.314706326
f401,-0.855169366,-0.740808509,-0.937563768
f402,-0.88796516,-0.272899429,0.972947978
f403,-0.980419597,-0.845033071,0.306502645
f404,-0.827398967,-0.623869759,-0.1639772
f405,-0.862015859,-0.56566468,-0.763075505
f406,-0.245072031,-0.391598459,-0.457607145
f407,-0.112099066,-0.640043268,0.420289855
f408,0.015772115,-0.675147861,0.462686567
f409,0.213946649,-0.304207259,0.880858204
f410,0.999468,0.018316082,0.880858204
f411,-0.799300714,-0.851551138,0.837671162
f412,-0.441083224,-0.635684379,0.883025083
f413,0.896407873,-0.432484295,-0.697826132
f414,-0.907889268,-0.978175763,-0.697665337
f415,0.152389621,-0.40970459,-1
f416,0.015987971,-0.517877212,-1
f417,-0.775587533,-0.837835878,0.8273588
f418,-0.773574016,-0.918632903,-1
f419,1,0.166017553,-1
f420,0.063918787,0.225176571,-1
f421,-0.748989892,-0.792128427,0.646114236
f422,-0.554730897,-0.762120619,-0.179992081
f423,-0.889789991,-0.643652003,0.575498305
f424,-0.980845437,-0.999693235,-0.237757035
f425,-0.997616397,-0.992345001,-0.02483147
f426,-0.999495425,-0.998590759,-0.710091743
f427,1,0.160875161,-0.873595586
f428,1,-0.069387755,-0.688139059
f429,0.68005843,0.602288194,0.312378086
f430,0.546131224,0.642487833,0.453775861
f431,-0.539576412,-0.588849234,0.684601368
f432,0.535975053,0.021067843,0.31713011
