,or2098,or2073,or4374,or4315,or4468,or4407,or2063,or4436,or2126,or2110,or4317,or2051,or2155,or4390,or2204,or4362,or4327,or2053,or2143,or4314,or4337
f333,-0.74206067,-0.436227569,-0.875930704,-0.710694041,-0.836807028,-0.888611623,-0.243099557,-0.5617363,-0.755004821,-0.58851276,-0.822472812,-0.69291087,-0.65283628,-0.88089705,0.022804573,-0.60909328,-0.822630156,-0.021278917,-0.068734287,-0.866418337,-0.75349404
f334,-0.69924295,-0.620741777,-0.99985133,-1,-0.998743235,-0.998453806,-0.381018265,-0.999812994,-0.730373794,-0.67412251,-1,-0.728421951,-0.566357,-0.965893343,-0.285249215,-1,-0.998600428,-0.796669321,-0.113420371,-0.997261408,-0.999952126
f335,-0.653169979,-0.56866497,-0.99982324,-0.998924931,-0.979835816,-0.997267466,-0.309651192,-0.999006999,-0.706292996,-0.646584599,-0.99950006,-0.711329108,-0.532851518,-0.999019359,-0.213921557,-0.999554803,-0.999094271,-0.782355088,-0.155266345,-0.999301984,-0.99930453
f336,-0.667566125,-0.411798675,-0.996912415,-0.997688878,-0.995884772,-0.996975578,-0.378548939,-0.998297885,-0.914088686,-0.553566038,-0.997506328,-0.50602127,-0.657656311,-0.998135428,-0.815656917,-0.996964094,-0.997919674,-0.811458709,-0.159892642,-0.997342717,-0.997105984
f337,-0.811209553,-0.745637919,-1,-0.627977124,-0.734675452,-0.81426539,-0.427018328,-0.59445432,-0.726189091,-0.756309483,-0.746425322,-0.89978356,-0.950950462,-0.693654929,-0.354490709,-0.386014794,-0.539589519,-0.880187623,-0.502479607,-0.717738646,-0.597509278
f338,-0.657693163,-0.568563655,-1,-0.765970258,-1,-0.858670718,-0.285113136,-0.796366475,-0.577084884,-0.646997522,-0.830040872,-0.731954804,-0.272051161,-0.900293454,0.192963117,-0.714206839,-0.744298544,-0.732003096,0.040966336,-0.829585844,-0.750895225
f339,-0.598442735,-0.980237097,-1,-0.555095098,-0.575262867,-0.637380387,-0.732674413,-0.520102679,-0.994676028,-0.988223055,-0.680831888,-0.965723304,-0.703509917,-0.292047993,-0.889368073,-0.218195925,-0.320916184,-0.905813442,-0.972892524,-0.688221499,-0.410254791
f340,-1,-0.977717901,-1,-0.944857347,-0.982841599,-0.984747013,-0.854210287,-0.965744151,-0.989706034,-0.975782144,-0.951572851,-0.988610094,-0.997461778,-0.964095458,-0.894555418,-0.938910631,-0.978572063,-0.94372438,-0.248733614,-0.978067711,-0.952278238
f341,-1,-1,-1,-0.663248832,-0.737193309,-0.851025517,-0.998259346,-0.906648215,-0.941728972,-1,-0.768762363,-1,-0.983676012,-0.680561815,-0.961444704,-0.629021917,-0.774822809,-1,-1,-0.686764753,-0.715447007
f342,-0.84054459,-0.784764916,-1,-0.771985786,-0.787458528,-0.835835568,-0.651884986,-0.882670332,-0.784660852,-0.739618976,-0.845978334,-0.75105415,-0.621482967,-0.616385174,-0.509960114,-0.679600938,-0.779336464,-0.849024404,-0.168210742,-0.768783893,-0.764290735
f343,-0.901188408,-0.737221619,-1,-0.797453569,-0.856868212,-0.910540818,-0.75598916,-0.956210568,-0.778670624,-0.710800893,-0.892102267,-0.779911324,-0.853626272,-0.836002521,-0.6570468,-0.744728052,-0.798074357,-0.849447016,-0.628901032,-0.636954296,-0.853228941
f344,-0.9105449,-0.742984249,-1,-0.967332579,-0.983615891,-0.990590099,-0.764266728,-0.974339124,-0.782099182,-0.710440149,-0.980046517,-0.789745765,-0.859406498,-0.968280856,-0.683552632,-0.948136593,-0.982148536,-0.859640925,-0.626660622,-0.986446856,-0.946713781
f345,-0.985932104,-0.986279128,-1,-0.787337488,-0.788608141,-0.721570674,-0.971407795,-0.897027338,-0.972316429,-0.977808885,-0.847630296,-0.988955993,-0.98430637,-0.608373805,-0.965825231,-0.687676793,-0.701730609,-0.990461861,-0.960822297,-0.75933626,-0.775403573
f346,-1,-0.992141013,-1,-0.834020813,-0.763014297,-0.80062854,-1,-0.844884469,-0.99012013,-0.980764193,-0.901510575,-0.982186295,-1,-0.703252685,-1,-0.616236971,-0.81653093,-0.971408256,-0.977845141,-0.837661374,-0.822673204
f347,-1,-1,-1,-0.900185908,-0.836367654,-0.902802424,-1,-0.86513023,-0.99012013,-0.997380338,-0.930388282,-0.999850305,-1,-0.856433145,-1,-0.845672342,-0.8662846,-1,-0.998727593,-0.890291419,-0.817137935
f348,-1,-0.993300095,-1,-0.501578586,-0.726107362,-0.747853667,-1,-1,-0.94523076,-0.992439152,-0.702086704,-0.993266982,-1,-0.705224645,-1,-0.577995119,-0.736012758,-0.997946981,-0.970253305,-0.576330483,-0.74207828
f349,-1,-0.939718587,-1,-0.950586931,-0.945297477,-0.963493457,-1,-0.68159614,-0.929480831,-0.908825236,-0.941130806,-0.884831061,-1,-1,-1,-0.859537396,-0.929750573,-0.873137415,-0.6893791,-0.965218043,-0.80272339
f350,-1,-0.885571427,-1,-0.968539585,-0.966409471,-0.95471422,-1,-0.721931293,-0.980337845,-0.879061719,-0.892442605,-0.781381743,-1,-1,-1,-0.88792239,-0.954067441,-0.7591844,-0.429566344,-0.973279477,-0.902063509
f351,-1,-1,-1,-0.949918675,-0.887213368,-0.954554844,-1,-0.980732575,-0.835595145,-0.97918984,-0.963694138,-1,-1,-0.939806186,-1,-0.989797265,-0.972322416,-1,-1,-0.954616735,-0.969281182
f352,-1,-1,-1,-0.948611821,-0.945540062,-0.963297559,-1,-0.938894245,-0.965549331,-1,-0.946052254,-1,-1,-0.980309778,-1,-0.983531336,-0.974836588,-1,-1,-0.975200177,-0.956985722
