,or3867,or4150,or2169,or3018,or3584,or2735,or68,or3301,or351,or2452,or2615,or188,or1603,or4433,or2049,or1982,or754
f49,-0.995991713,-0.996767082,0.169888098,-0.998809884,-0.999696318,-0.99872155,-0.184130214,-0.999819095,-0.183452018,-0.999967959,-0.998092918,0.355035605,0.233638522,-0.997264926,-0.432349949,-0.89487962,0.379450661
f50,-0.992571342,-0.99186279,-0.728612272,-0.99726149,-0.997530473,-0.99705823,0.38552892,-0.999409051,0.386848472,-0.99987818,-0.988542693,-0.659555751,-0.728172421,-0.993115859,0.046844073,-0.782274027,-0.678909171
f51,-0.994479111,-0.993500027,0.705015025,-0.997233638,-0.999030262,-0.997028311,0.968985418,-0.998815772,0.984746585,-0.999174306,-0.998101558,0.334563926,0.705015025,-0.994500973,0.945166397,0.129897559,0.547899737
f52,-0.989905007,-0.990112731,0.712218909,-0.992504898,-0.995366907,-0.991948591,0.293877208,-0.994025236,0.252966191,-0.996914412,-0.994281503,0.016501542,0.712218909,-0.991635295,0.27757224,0.153080917,0.355560514
f53,-0.898883404,-0.883273615,0.994960847,-0.884524385,-0.896671578,-0.875953477,0.35795798,-0.894366289,0.387553309,-0.950641738,-0.901378849,0.443612325,0.994960847,-0.901248591,0.173963635,-0.53664842,0.57776806
f54,-0.426700927,-0.397323177,-0.46890596,-0.106528285,-0.791712344,-0.454273806,0.915260906,-0.389928122,0.985201953,-0.76419558,-0.752671521,-0.126127241,-0.46890596,-0.317244151,0.973353096,-0.258616183,-0.159088415
f55,-1,-1,1,-1,-1,-1,0.620660313,-1,0.620660313,-1,-1,1,1,-1,0.620660313,-0.326639437,1
f56,-1,-1,0.399439243,-1,-0.658301155,-1,0.598265626,-0.632047234,0.692733549,-1,-1,0.200249321,-0.993599733,-1,0.411898738,-0.1272658,0.400295499
f57,-1,-1,0.532088706,-1,-1,-1,0.320065148,-1,0.470952003,-1,-1,-0.250661632,0.294585729,-1,0.760910694,0.073734636,-0.047168223
f58,-1,-1,1,-1,-1,-1,0.248882656,-1,0.360315674,-1,-1,-0.120274315,0.615979374,-1,0.840628379,0.333928095,0.148831405
f59,-0.985200426,-0.986364437,-0.008959903,-0.889049254,-0.766990036,-0.880814194,0.747657525,-0.779991292,0.796944068,-0.871675758,-0.976125127,-0.189217816,-0.137876356,-0.98846421,0.82332469,-1,-0.159511862
f60,-0.985200426,-0.986364437,-0.605436639,-0.889049254,-0.765281752,-0.880814194,0.465891863,-0.778151754,0.660222746,-0.871675758,-0.976125127,-0.726147169,-1,-0.98846421,0.946768365,-0.320815414,-0.702090794
f61,-0.285246872,1,-0.446396681,0.047193949,-0.207976269,0.124919472,-0.287132028,0.705755418,-0.233819455,0.211171402,-0.779829249,-0.685820079,-0.446396681,0.526940558,-0.083472154,0.070876678,-0.631114824
f62,-0.590197884,-0.709561163,0.444611116,-0.919548534,-0.563360527,-0.913577208,0.124250318,-0.586234545,0.331142751,-0.906950841,-0.959317029,-0.652133289,0.008348159,-0.754286532,0.997653072,-1,-0.495090735
f63,-0.382338097,0.305540489,0.003565175,-0.269776878,-0.386020503,-0.215577767,-0.040663321,0.148890049,0.067405851,-0.155433084,-0.817648536,-0.68642098,-0.329988697,0.03369608,0.531644535,-1,-0.517487832
f64,-1,-1,0.154053007,-1,-0.574774775,-1,-0.079903061,-0.542103218,0.00666884,-1,-1,-0.494081843,-0.240742517,-1,1,0.901069824,-0.388675551
f65,-0.20125885,0.37789054,-0.939227516,-0.273515856,-0.001918049,-0.219594268,-0.208141854,0.500619626,-0.046887762,-0.15975754,-0.807480548,-0.756653291,-0.584919752,0.099472588,1,0.22674622,-0.697082508
f66,-0.909058645,-0.937828257,0.571278459,-0.964814805,-0.904060245,-0.962203266,0.159194396,-0.89384735,0.2882662,-0.959305245,-0.994701769,-0.697022767,0.100350263,-0.947402233,1,0.705779335,-0.421891419
f67,-0.385979574,0.464174764,-0.208979372,-0.223742495,-0.383182562,-0.166126592,-0.454900903,0.183763509,-0.495753,-0.102190296,-0.836465548,-0.672643926,-0.088984765,0.201314771,-0.083187272,-0.779425644,-0.664284751
f68,-0.957366414,-0.960719616,-0.493315141,-0.943869646,-0.515950632,-0.93970351,-0.014811376,-0.426271983,0.088677182,-0.935080333,-0.99699176,-0.660708313,-0.519798298,-0.966768504,0.23584887,-0.077845935,-0.623385475
f69,-1,-1,0.053267629,-1,-1,-1,0.034660403,-1,0.135765784,-1,-1,-0.586305667,-0.06989964,-1,1,0.623731895,-0.418726755
f70,-1,-1,0.090274516,-1,-0.560568658,-1,-0.024980973,-0.526805596,0.056003696,-1,-1,-0.625049154,0.100109042,-1,0.958749602,0.774104796,-0.481259514
f71,-1,-1,0.976371113,-1,-1,-1,-0.120716953,-1,-0.077380389,-1,-1,-0.714859427,0.267880364,-1,0.403802684,0.561912762,-0.659087858
f72,-1,-1,0.261513611,-1,-1,-1,0.111272396,-1,0.16440234,-1,-1,-0.566538925,-0.103716885,-1,0.752956664,1,-0.417615118
f73,-0.29286156,0.349383492,0.517080026,-0.274368902,-0.279667193,-0.220510626,-0.011539119,0.219899139,0.201725301,-0.160744162,-0.852982473,-0.531167379,0.112022352,0.110645624,1,0.993288872,-0.385803955
