,or4378,or4319,or2451,or4434,or2061,or1,or4323,or2095,or3866,or2236,or2059,or4324,or470,or2060,or4359,or2064,or4500,or4354,or1602,or1036,or3583,or753,or2114,or4325,or1319,or2055,or2090,or2080,or2111,or4030,or2734,or1766
f28,-0.760902787,-0.61017366,-0.931743168,-0.680978067,-0.934129376,0.496443862,-0.666435716,-0.891907289,-0.96840419,-0.306116211,-0.891327191,-0.669283007,-0.477911995,-0.918695996,-0.854283369,-0.932986548,-0.936746248,-0.916380546,-0.138884788,-0.162998793,-0.954587827,-0.318016899,-0.867602234,-0.751311262,-0.160984082,-0.877616736,-0.765164607,-0.719027728,-0.533309597,-0.961712549,-0.922758314,0.107243407
f29,-0.999995649,-0.999904738,-0.999956163,-0.995104874,-0.918046645,0.370397809,-0.998864457,-0.909291838,-0.99870258,-0.402970117,-0.895550972,-0.99998488,-0.47311309,-0.918009757,-0.999136475,-0.909765237,-1,-0.996335999,-0.191127151,-0.243865026,-0.999987801,-0.371067945,-0.863808648,-0.997555118,-0.199543816,-0.854451334,-0.709197773,-0.697639461,-0.522930647,-0.999225432,-1,0.190131168
f30,-0.994257364,-0.991486685,-0.997580644,-0.983608188,-0.983466557,0.77421813,-0.992271916,-0.972913743,-0.994363699,-0.750695025,-0.967668869,-0.993332742,-0.615305785,-0.966491662,-0.995072664,-0.979335824,-0.996692803,-0.99075045,-0.589218051,-0.546975263,-0.996613961,-0.6028295,-0.975099984,-0.995146823,-0.57924333,-0.962749828,-0.859712741,-0.889311072,-0.853259127,-0.99690139,-0.995448953,-0.383690437
f31,-0.999578915,-0.998753944,-0.999649626,-0.997379323,-0.890230892,0.603105096,-0.99936152,-0.893925159,-0.993917202,-0.52508758,-0.873801752,-1,-0.47093949,-0.912038217,-0.998521787,-0.939562102,-0.989989771,-0.999422267,-0.242882166,-0.31433121,-0.997545184,-0.445151274,-0.842476115,-0.998497519,-0.274156051,-0.879219745,-0.754390924,-0.780648885,-0.583220541,-0.999911137,-0.995999751,-0.126441083
f32,-0.989924463,-0.986350238,-0.989380258,-0.897753715,-0.886010363,0.677487047,-0.983452909,-0.911917098,-0.947114885,-0.502590674,-0.847150259,-0.974082025,-0.381943005,-0.955958549,-0.967725675,-0.940414508,-0.98976274,-0.963571424,-0.18134715,-0.206088083,-0.991055589,-0.249740933,-0.878238342,-0.966404632,-0.194300518,-0.849740933,-0.730569948,-0.704663212,-0.67357513,-0.984650724,-0.990027447,0.533678756
f33,-0.991198044,-0.987612989,-0.995095022,-0.958644539,-0.944118962,-0.116329494,-0.987508718,-0.956602977,-0.982057846,-0.703151573,-0.923758278,-0.987260597,-0.714416006,-0.973749443,-0.987155358,-0.961625664,-0.993691754,-0.980730606,-0.588505912,-0.606013311,-0.994261314,-0.653282081,-0.933634413,-0.985508041,-0.588505912,-0.145718735,-0.848349863,-0.822562763,-0.795819225,-0.993089696,-0.992675851,0.341667816
f34,-1,-1,-1,-1,-0.082058832,-0.005069369,-1,-0.056655408,-1,0.125787362,-0.029670044,-1,-0.127295979,0.077001241,-1,0.198267948,-1,-0.999501379,0.138673826,-0.062717589,-1,-0.127176005,0.039230969,-1,0.028792471,0.07326001,0.064380359,0.139967091,0.180589475,-1,-1,0.651026241
f35,-1,-1,-1,-0.981610357,-0.927513117,-0.436608649,-0.999173581,-0.960474308,-0.999754149,-0.731548899,-0.891408363,-0.998254469,-0.822342417,-0.949702979,-0.999558648,-0.954372096,-0.999724633,-0.995721427,-0.656334512,-0.656334512,-0.99916147,-0.822342417,-0.873286642,-1,-0.656334512,-0.901070199,-0.918822088,-0.938099531,-0.613202968,-0.998279432,-0.99860385,-0.706862677
f36,-1,-1,-0.999056093,-1,-0.915158707,-0.251854049,-0.994297462,-0.854642539,-0.980052041,-0.584099674,-0.893800059,-1,-0.392465144,-0.913972115,-0.999302388,-0.919905073,-0.99739763,-1,-0.250667458,-0.266093147,-1,-0.385938891,-0.798872738,-1,-0.258973598,-0.857015722,-0.821417977,-0.71462474,-0.575200237,-1,-1,-0.265499852
f37,-1,-0.99635362,-0.997163112,-1,-0.817295666,-0.824198859,-0.991672611,-0.758916797,-0.99851409,-0.753031029,-0.826729765,-0.999997665,-0.687888343,-0.834628986,-0.999878597,-0.833635078,-0.995046782,-1,-0.788989124,-0.79932747,-0.995403637,-0.684106452,-0.876364339,-0.999625838,-0.795568528,-0.824500555,-0.71151413,-0.620367423,-0.85490044,-0.998767697,-0.995539218,-0.597245242
f38,-0.990871114,-0.996903433,-0.999000088,-1,-0.852587559,0.510716153,-0.995262236,-0.719811814,-1,-0.267119707,-0.813904861,-0.977371269,-0.280710925,-0.848405646,-0.993663055,-0.859905907,-1,-0.996184125,-1,-1,-1,-1,-0.689492943,-0.999476919,-1,-0.751176163,-0.764767381,-0.514898066,-0.266074229,-0.995220057,-0.994414802,0.985363304
f39,-0.99576306,-0.996443803,-0.998713951,-0.996971028,-0.814982507,-0.755916855,-0.997241205,-0.354805516,-0.999099496,-0.751594978,-0.844000823,-0.993368717,-0.631611443,-0.725663717,-0.998122944,-0.720518625,-0.997749908,-0.997830266,-1,-1,-0.998967056,-1,-0.776908829,-0.998505218,-1,-0.771146326,-0.736365507,-0.286890307,-0.827330726,-0.998456393,-0.997625151,-0.383618028
f40,-0.818902932,-0.828595681,-0.929592445,-0.857906443,-0.880434783,0.489130435,-0.835123328,-0.68115942,-0.946158749,-0.108695652,-0.822463768,-0.715351871,-0.278985507,-0.851449275,-0.918568877,-0.869565217,-0.876332427,-0.904308007,-1,-1,-0.930819303,-1,-0.735507246,-0.934115222,-1,-0.735507246,-0.652173913,-0.47826087,-0.257246377,-0.926284179,-0.873799571,1
f41,-0.960332504,-0.895375605,-0.942817544,-0.855239503,-0.884788762,-0.076580365,-0.955795785,-0.87551106,-0.902652069,-0.528304854,-0.8161757,-0.881722496,-0.25848894,-0.902715169,-0.965841229,-0.924258308,-0.955421049,-0.979784062,0.127117706,-0.051241556,-0.949461166,-0.124285989,-0.809728483,-0.911722205,0.024606458,-0.818010274,-0.701593458,-0.663696404,-0.552888143,-0.984213006,-0.933932873,0.712961002
f42,-0.999416463,-0.998035589,-0.999530012,-0.99721849,-0.958191848,-0.972076511,-0.998881939,-0.953516807,-0.999658519,-0.968769319,-0.955675405,-0.998660522,-0.935868691,-0.953196957,-0.998897457,-0.965401708,-0.99946969,-0.999351451,-0.953072693,-0.957585473,-0.999740236,-0.959986683,-0.955001135,-0.998168559,-0.955796244,-0.95455048,-0.955057817,-0.949682034,-0.966515421,-0.99985654,-0.999347045,-0.95796107
f43,-0.997485831,-0.995658395,-0.998476801,-0.991098004,-0.81842701,-0.813177287,-0.99659275,-0.811780571,-0.996781079,-0.81601888,-0.817463758,-0.99564505,-0.784809517,-0.820353513,-0.996923191,-0.815537254,-0.998072189,-0.996444761,-0.816500506,-0.809757742,-0.998571298,-0.81361075,-0.819871887,-0.995964273,-0.810720994,-0.821316765,-0.814092376,-0.81231036,-0.816500506,-0.998615284,-0.997749856,-0.81842701
f44,-0.997063852,-0.987953703,-0.99448082,-0.958869684,-0.886386899,-0.976458547,-0.991821575,-0.973729103,-0.989278783,-0.918457864,-0.898669396,-0.982551126,-0.963152508,-0.946434664,-0.996700131,-0.938246332,-0.995493603,-0.987848302,-0.962811327,-0.957352439,-0.984969221,-0.955305357,-0.908904811,-0.993904233,-0.958375981,-0.938928693,-0.955987718,-0.993517571,-0.893551689,-0.986172564,-0.987509505,-0.989082224
f45,-0.99149796,-0.990342407,-0.995316408,-0.98841328,0.097270195,-0.499721448,-0.992028139,0.179721448,-0.996881422,-0.232980501,0.009693593,-0.988654648,-0.291810585,0.002116992,-0.994201888,0.047130919,-0.992376171,-0.994316775,-0.376713092,-0.294930362,-0.997051043,-0.254150418,-0.058050139,-0.989512357,-0.344401114,0.022841226,-0.216267409,-0.216490251,-0.216713092,-0.997118001,-0.994598735,-0.33637883
f46,-0.99300029,-0.987850263,-0.996023273,-0.983315612,0.135775862,0.840517241,-0.992252893,0.108955939,-0.997876887,0.512931034,0.238266284,-0.985978775,0.607758621,0.280411877,-0.994321894,0.225335249,-0.995356357,-0.995255063,0.698754789,0.60704023,-0.997636694,0.562021073,0.318965517,-0.990620314,0.660680077,0.252394636,0.521551724,0.548132184,0.478448276,-0.997955407,-0.994947198,0.673850575
f47,-0.906655467,-0.847810197,-0.973352252,-0.875452528,-0.886093919,-0.600704105,-0.869775134,-0.922889103,-0.987664866,-0.826472091,-0.83192323,-0.870886728,-0.596842882,-0.919255011,-0.943111629,-0.85997388,-0.975305476,-0.967354622,-0.470331043,-0.471920958,-0.982270901,-0.603997502,-0.90426438,-0.902910896,-0.470558174,-0.838510022,-0.860201011,-0.896996196,-0.780364545,-0.985052422,-0.969844529,-0.075009937
f48,-0.995632727,-0.984405012,-0.999570706,-0.962589475,-0.842237813,-0.526533549,-0.983204089,-0.914552977,-0.969659665,-0.745277928,-0.765245548,-0.988370747,-0.620255442,-0.897463573,-0.979996174,-0.821730527,-0.996814562,-0.973132121,-0.410865264,-0.445763627,-0.991425449,-0.619715776,-0.897463573,-0.978141884,-0.426155783,-0.805180788,-0.819931642,-0.85896744,-0.676740421,-0.998477033,-0.988739071,-0.145889548
f49,-0.995973364,-0.992788192,-0.997186617,-0.977064984,-0.9660902,-0.846727704,-0.992579861,-0.893523228,-0.987835011,-0.985757884,-0.947100712,-0.994581912,-0.485249237,-0.962021024,-0.992082069,-0.938284164,-0.996053647,-0.988940607,-0.492031197,-0.412004069,-0.996007759,-0.509664293,-0.961342828,-0.99140478,-0.452017633,-0.939640556,-0.915903696,-0.974906748,-0.963377416,-0.995887111,-0.995030123,-0.373346897
f50,-0.99223815,-0.977587123,-0.992598169,-0.957307437,-0.966571366,-0.710578403,-0.981896925,-0.979327029,-0.985108136,-0.959973609,-0.957334506,-0.991351574,-0.700901693,-0.962612712,-0.971694438,-0.933582582,-0.991827598,-0.97598488,-0.718495711,-0.691224984,-0.993443668,-0.714097207,-0.904992303,-0.971281774,-0.707939301,-0.890037387,-0.953375852,-0.962172861,-0.963492413,-0.986871568,-0.992023299,0.087750165
f51,-0.989147014,-0.980367199,-0.995379037,-0.963599941,-0.657189822,-0.044300507,-0.981099322,-0.83128025,-0.976278286,-0.689800428,-0.630390981,-0.981532391,-0.055345385,-0.786392962,-0.980729275,-0.887938605,-0.990770006,-0.976294611,0.222562997,0.167193833,-0.991386172,0.007701445,-0.579073459,-0.975290693,0.222562997,-0.702030395,-0.836918062,-0.621266292,-0.731371836,-0.996291812,-0.987275749,0.945166397
