,or1320,or3584,or754,or68,or3867,or3301,or1037,or2735,or3018,or1886,or4313,or4150,or1603,or471
f50,-0.723334066,-0.997530473,-0.678909171,0.38552892,-0.992571342,-0.999409051,-0.696943039,-0.99705823,-0.99726149,-0.72729272,-0.986934254,-0.99186279,-0.728172421,-0.650318892
f51,0.705015025,-0.999030262,0.547899737,0.968985418,-0.994479111,-0.998815772,0.595686747,-0.997028311,-0.997233638,0.705015025,-0.996309518,-0.993500027,0.705015025,0.442786725
f52,0.712218909,-0.995366907,0.355560514,0.293877208,-0.989905007,-0.994025236,0.507071705,-0.991948591,-0.992504898,0.712218909,-0.992496859,-0.990112731,0.712218909,0.181289477
f53,0.994960847,-0.896671578,0.57776806,0.35795798,-0.898883404,-0.894366289,1,-0.875953477,-0.884524385,0.994960847,-0.908669193,-0.883273615,0.994960847,0.534493199
f54,-0.46890596,-0.791712344,-0.159088415,0.915260906,-0.426700927,-0.389928122,-0.448502032,-0.454273806,-0.106528285,-0.46890596,-0.662794929,-0.397323177,-0.46890596,-0.144859055
f55,1,-1,1,0.620660313,-1,-1,1,-1,-1,1,-1,-1,1,1
f56,-0.993599733,-0.658301155,0.400295499,0.598265626,-1,-0.632047234,-0.993599733,-1,-1,0.373186279,-1,-1,-0.993599733,0.33833963
f57,0.107422477,-1,-0.047168223,0.320065148,-1,-1,0.142202958,-1,-1,0.249868298,-1,-1,0.294585729,0.320481412
f58,0.397545149,-1,0.148831405,0.248882656,-1,-1,0.251396636,-1,-1,0.800099791,-1,-1,0.615979374,-0.023364152
f59,-0.146884661,-0.766990036,-0.159511862,0.747657525,-0.985200426,-0.779991292,-0.170372556,-0.880814194,-0.889049254,-1,-0.96907221,-0.986364437,-0.137876356,-0.171346749
f60,-1,-0.765281752,-0.702090794,0.465891863,-0.985200426,-0.778151754,-1,-0.880814194,-0.889049254,-0.625303856,-0.96907221,-0.986364437,-1,-0.709701724
f61,-0.446396681,-0.207976269,-0.631114824,-0.287132028,-0.285246872,0.705755418,-0.552260742,0.124919472,0.047193949,-0.446396681,-0.763085213,1,-0.446396681,-0.660492563
f62,-0.170738008,-0.563360527,-0.495090735,0.124250318,-0.590197884,-0.586234545,-0.371612757,-0.913577208,-0.919548534,0.246693915,-0.973551446,-0.709561163,0.008348159,-0.58090674
f63,-0.3098484,-0.386020503,-0.517487832,-0.040663321,-0.382338097,0.148890049,-0.407241372,-0.215577767,-0.269776878,-0.138857951,-0.773909772,0.305540489,-0.329988697,-0.607459933
f64,-0.304276742,-0.574774775,-0.388675551,-0.079903061,-1,-0.542103218,-0.366736619,-1,-1,-0.221473864,-1,-1,-0.240742517,-0.44046963
f65,-0.569656886,-0.001918049,-0.697082508,-0.208141854,-0.20125885,0.500619626,-0.649289379,-0.219594268,-0.273515856,-0.556071815,-0.774237556,0.37789054,-0.584919752,-0.702363016
f66,-0.171978984,-0.904060245,-0.421891419,0.159194396,-0.909058645,-0.89384735,-0.370928196,-0.962203266,-0.964814805,0.103677758,-0.277926758,-0.937828257,0.100350263,-0.667950963
f67,-0.442901443,-0.383182562,-0.664284751,-0.454900903,-0.385979574,0.183763509,-0.547121478,-0.166126592,-0.223742495,1,-0.779165076,0.464174764,-0.088984765,-0.722798975
f68,-0.563203088,-0.515950632,-0.623385475,-0.014811376,-0.957366414,-0.426271983,-0.578446247,-0.93970351,-0.943869646,-0.467779896,-1,-0.960719616,-0.519798298,-0.645237421
f69,-0.124508241,-1,-0.418726755,0.034660403,-1,-1,-0.238850844,-1,-1,-0.012321896,-1,-1,-0.06989964,-0.516751424
f70,0.008447488,-0.560568658,-0.481259514,-0.024980973,-1,-0.526805596,-0.156641204,-1,-1,0.025568888,-1,-1,0.100109042,-0.595085757
f71,0.454188489,-1,-0.659087858,-0.120716953,-1,-1,-0.227656696,-1,-1,1,-1,-1,0.267880364,-0.520771946
f72,-0.269858898,-1,-0.417615118,0.111272396,-1,-1,-0.491994188,-1,-1,0.028945215,-1,-1,-0.103716885,-0.493444869
f73,-0.047311932,-0.279667193,-0.385803955,-0.011539119,-0.29286156,0.219899139,-0.120904057,-0.220510626,-0.274368902,0.308046228,-0.801965956,0.349383492,0.112022352,-0.463489618
f74,-0.275175724,-0.210834738,-0.604528739,-0.271153807,-0.29286156,0.294020234,-0.296877647,-0.220510626,-0.274368902,-0.164005436,-0.801965956,0.349383492,-0.215240886,-0.636981045
f75,-0.442978798,-1,-0.465339218,0.045664429,-1,-1,-0.481086876,-1,-1,-0.277456049,0.904324675,-1,-0.419046668,-0.502039618
f76,-0.797752809,-1,-0.797752809,0.483146067,0.900152429,-1,-0.797752809,-1,-1,-0.797752809,-0.610291605,0.750702247,-0.797752809,-0.797752809
f77,-0.163895487,-1,-0.228028504,0.717339667,-1,-1,-0.204275534,-1,-1,-0.073634204,-1,-1,-0.125890736,-0.25415677
f78,-0.695160561,-1,-0.700587969,-0.340569878,-1,-1,-0.697874265,-1,-1,-0.688828584,-1,-1,-0.69063772,-0.696969697
f79,-0.858490566,0.860753826,-0.849056604,-0.075471698,1,0.243565648,-0.858490566,0.10033917,0.024312001,-0.858490566,0.130273139,0.842696629,-0.858490566,-0.858490566
f80,-0.84923537,0.819647335,-0.867888496,0.187819213,1,0.216093653,-0.857111134,0.076031236,0.001683606,-0.84923537,0.117248703,0.842696629,-0.84923537,-0.876119558
f81,-0.298671605,1,-0.352493312,0.132016371,0.837694011,0.331357811,-0.331184123,0.529436786,0.423761423,-0.187324233,0.20228202,0.632686416,-0.254864303,-0.38157624
f82,0.038546146,0.262962744,-0.135226557,0.019908692,0.177738429,0.178667211,-0.057515227,0.354028933,0.260473239,0.219504107,0.115645806,0.050103851,0.123221649,-0.214131744
f83,-0.614315337,1,-0.649950081,0.279778819,0.848108663,0.341205831,-0.632132709,0.540749995,0.434292948,-0.586206897,-0.099263952,0.66292135,-0.595115583,-0.68205207
f84,-0.82619001,-0.949806944,-0.834151943,-0.041700362,-0.048780494,-0.945950439,-0.829540113,-0.937908973,-0.942199103,-0.82619001,-0.847982848,-0.123595513,-0.82619001,-0.844126585
f85,-0.349593496,0.967761483,-0.384227642,-0.024878049,1,0.401932584,-0.373658537,0.610511653,0.499234472,-0.317073171,0.040933813,0.80138056,-0.317073171,-0.395609756
f86,0.189542484,-0.928635617,0.036862745,-0.031111111,-0.935560283,-0.93965299,0.130457516,-0.930674581,-0.935464573,0.254901961,-0.908487083,-0.940628575,0.254901961,-0.045490196
f87,-0.651081433,1,-0.651081433,-0.009306765,0.840622884,0.261253717,-0.651081433,0.448902632,0.348791711,-0.651081433,-0.046864151,0.662848808,-0.651081433,-0.654601104
f88,-0.759508406,-0.798986491,-0.776454682,-0.126524104,-0.443656603,-0.83308337,-0.76872427,-0.80824957,-0.821498429,-0.762121589,-0.85342725,-0.487413956,-0.762121589,-0.796171779
f89,-0.866268153,-1,-0.866268153,0.005315335,-1,-1,-0.866268153,-1,-1,-0.866268153,0.513721296,-1,-0.866268153,-0.869470492
f90,-0.788307898,-1,-0.779834876,-0.688983404,-0.497213917,-1,-0.788307898,-1,-1,-0.788307898,-0.924533153,-0.536758886,-0.788307898,-0.694779418
f91,-0.856283981,-1,-0.851428801,-0.858156503,-1,-1,-0.856283981,-1,-1,-0.856283981,-1,-1,-0.856283981,-0.855187219
f92,-1,-1,-1,-0.257575758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
f93,-0.086825437,1,-0.225629592,0.809399544,0.833829264,0.346164214,-0.168457056,0.546446084,0.439595468,-1,0.1878395,0.663153805,0.032429693,-0.276817836
f94,-0.154636347,1,-0.158787413,-0.519290113,0.907752629,0.346164214,-0.154636347,0.546446084,0.439595468,-0.154636347,0.251679457,0.73126297,-0.154636347,-0.158110808
f95,-1,-0.703069303,-1,0.094972067,-0.691778411,-0.775553641,-1,-0.72361529,-0.81552666,-1,-0.717687497,-0.663446666,-1,-1
f96,-1,0.733154853,-1,-1,0.564066574,0.457102379,-1,0.661062853,0.546292871,-1,-0.442585395,0.441050102,-1,-1
f97,-0.756053812,0.420606789,-0.777578475,0.033183857,0.282011004,0.194336171,-0.775784753,0.361515482,0.267442517,-0.748878924,-0.33235651,0.181178678,-0.757847534,-0.786547085
f98,-0.464571012,-0.997006769,-0.564957816,0.459806038,-0.997298792,-0.996776789,-0.558455027,-0.99652165,-0.99655308,-0.38939653,-0.995133046,-0.997511246,-0.440830227,-0.619362615
f99,-0.4720785,-0.884529666,-0.536015064,-0.206519767,-0.895795064,-0.875657673,-0.49889005,-0.865815145,-0.867027627,-0.372537164,-0.435786417,-0.903990956,-0.424743675,-0.561928289
f100,1,-1,1,0.568783069,-0.824974868,-1,1,-1,-1,1,-0.858923183,-0.668245239,1,1
f101,0.17769871,0.573194109,0.17769871,0.979741642,0.414454835,0.831797279,0.17769871,1,0.918174679,0.17769871,-0.212810712,0.332371607,0.17769871,0.17769871
