,or2063,or4337,or2051,or917,or4419,or4318,or2054,or1483,or634,or4407,or4317,or4315,or3747,or2073,or3181,or2204,or4432,or4436,or3464,or2143,or2172,or2168
f908,-0.903152604,-0.682555257,-0.807851507,-0.960409901,-0.504441231,-0.690404875,-0.929136775,-0.960708878,-0.962012854,-0.493234869,-0.876316877,-0.845331543,-0.09827515,-0.911345224,-0.146302417,-0.945579154,-0.205329477,-0.647231977,-0.137936377,-0.925011709,-0.874117521,-0.869090883
f909,-0.853899706,-0.741871164,-0.879812937,-0.844070222,-0.749028309,-0.439500477,-0.764825089,-0.832145177,-0.842373722,-0.748205447,-0.699830103,-0.499916676,-0.861794596,-0.899426749,-0.853095875,-0.854934117,-1,-1,-0.856774206,-0.787872447,-0.88082746,-0.680720741
f910,-0.538467415,-0.620036101,-0.588810373,-0.567844308,-0.553249097,0.027888087,-0.203368332,-0.493281101,-0.58615496,0.115613718,-0.550812274,-0.344584838,-0.016606498,-0.721258512,-0.011823105,-0.605888709,-1,-1,0.015613718,-0.376480175,-0.771723946,-0.454480474
f911,-0.485247223,-0.66163114,-0.628153506,-0.550799273,-0.851714551,-0.957205746,-0.561641676,-0.460222023,-0.552653345,-0.735866543,-0.991218721,-0.963253012,0.849811168,-0.719217265,0.902418675,-0.62602722,0.614944393,-1,0.849811168,-0.495255284,-0.70204363,-0.250685924
f912,-0.539527261,-0.715141334,-0.699377467,-0.550799273,-0.757233206,-0.795931261,-0.635584666,-0.542815529,-0.552653345,-0.841681626,-0.912998747,-0.936311497,-0.252561905,-0.737749168,0.077257369,-0.751053665,0.335665604,-0.307272801,-0.062141008,-0.579823611,-0.80707472,-0.434279313
f913,-0.455863272,-0.778579216,-0.606927163,-0.525165013,-0.86472826,-0.885390792,-0.536618597,-0.429409544,-0.527117179,-0.69250188,-0.751115589,-0.936510242,-0.366529198,-0.70318917,-0.220214642,-0.604679501,0.395077618,-0.052768702,-0.26843641,-0.466442629,-0.685035202,-0.207912365
f914,-0.763057329,-0.829109373,-0.834666667,-0.827876985,-0.642255961,-0.637617625,-0.855072459,-0.786648308,-0.827237889,-0.277110321,-0.773153271,-0.709869584,1,-0.761276131,0.966588187,-0.90277778,-0.217330059,-1,1,-0.79217877,-0.769858956,-0.670563229
f915,-0.973673043,-0.849906459,-0.958666667,-0.928282079,-0.670227171,-0.800115813,-0.913043471,-0.943106217,-0.928015789,-0.333113586,-0.81844098,-0.781576837,0.343180401,-0.96589659,0.220641425,-0.986111111,-1,-0.858155902,0.269728285,-0.953817502,-0.907943578,-0.89018775
f916,-0.447672442,-0.893272352,-0.566422861,-0.749231846,-0.909926249,-0.888588411,-0.797299147,-0.552398014,-0.748300739,-0.726494524,-0.862999807,-0.886186728,-0.182090709,-0.642263091,-0.250969327,-0.805745013,-1,-0.771557714,-0.22035672,-0.596296904,-0.517174713,-0.462444199
f917,-0.811464946,-0.608887562,-1,-0.897281414,-0.439021679,-0.466270439,-1,-0.898141812,-0.896900018,-0.32232776,-0.668216976,-0.675317839,1,-0.63366337,0.703931655,-0.900537636,0.56398126,-0.285148815,1,-0.834636862,-1,-0.764080748
f918,-0.366991653,-0.238434521,-0.601226585,-0.431798463,-0.869114128,0.128830173,-0.455811315,-0.323484881,-0.429688735,-0.467858916,-0.318857228,-0.481317762,0.981185465,-0.572272739,0.953484909,-0.718607469,0.03369862,0.077191968,0.981185465,-0.378448141,0.00617016,0.378035485
f919,-0.696230386,-0.439324774,-0.910458898,-0.563816267,-0.763140604,-0.183053256,-0.809269918,-0.601363384,-0.56219672,-0.43858979,-0.519276591,-0.594224304,1,-0.949208327,0.891697285,-0.905975826,0.108423978,-0.164457141,1,-0.774896671,-0.373187359,-0.091386189
f920,-0.398665729,-0.729681682,-0.491641259,-0.65137674,-0.433993994,-0.713933934,-0.380381552,-0.446041748,-0.650082305,-0.318654655,-0.81803003,-0.795471471,0.260684685,-0.505662469,0.158294294,-0.694965233,1,-1,0.249021021,-0.503001231,-0.150848428,-0.099612573
f921,-0.8944,-0.688273494,-1,-0.856166238,-0.618886373,-0.65007074,-1,-0.857370957,-0.855632184,-0.320669383,-0.840592403,-0.797913817,0.436572356,-0.658019802,0.783537255,-0.930362903,0.186675611,-0.284505359,0.876949755,-0.305340782,-1,-0.286442508
